physical_quantity,power,energy,voltage
01-01-2012 00:05,832,624,129
01-01-2012 00:05,977,898,951
01-01-2012 00:05,724,76,48
01-01-2012 00:05,750,410,121
01-01-2012 00:05,571,450,964
01-01-2012 00:05,253,504,676
01-01-2012 00:05,895,252,613
01-01-2012 00:05,815,961,733
01-01-2012 00:05,453,282,76
01-01-2012 00:05,4,307,697
01-01-2012 00:05,536,247,90
01-01-2012 00:05,829,399,431
01-01-2012 00:05,582,947,578
01-01-2012 00:05,142,464,962
01-01-2012 00:05,316,705,109
01-01-2012 00:05,196,919,734
01-01-2012 00:05,483,299,454
01-01-2012 00:05,126,664,234
01-01-2012 00:05,787,116,216
01-01-2012 00:05,577,65,649
01-01-2012 00:05,817,240,837
01-01-2012 00:05,394,880,860
01-01-2012 00:05,157,468,666
01-01-2012 00:05,41,35,300
01-01-2012 00:05,224,494,794
01-01-2012 00:05,254,311,932
01-01-2012 00:05,197,38,903
01-01-2012 00:05,331,942,706
01-01-2012 00:05,565,136,682
01-01-2012 00:05,243,139,551
01-01-2012 00:05,365,239,770
01-01-2012 00:05,352,753,76
01-01-2012 00:05,779,164,646
01-01-2012 00:05,69,680,387
01-01-2012 00:05,470,771,194
01-01-2012 00:05,677,154,906
01-01-2012 00:05,348,92,164
01-01-2012 00:05,634,953,391
01-01-2012 00:05,927,377,845
01-01-2012 00:05,881,595,983
01-01-2012 00:05,476,187,192
01-01-2012 00:05,265,274,38
01-01-2012 00:05,684,175,401
01-01-2012 00:05,758,229,838
01-01-2012 00:05,983,85,783
01-01-2012 00:05,133,362,454
01-01-2012 00:05,209,610,377
01-01-2012 00:05,176,637,855
01-01-2012 00:05,591,402,978
01-01-2012 00:05,704,124,661
01-01-2012 00:05,286,141,541
01-01-2012 00:05,862,818,671
01-01-2012 00:05,42,755,16
01-01-2012 00:05,987,609,317
01-01-2012 00:05,784,700,901
01-01-2012 00:05,348,8,414
01-01-2012 00:05,413,58,840
01-01-2012 00:05,118,393,357
01-01-2012 00:05,831,416,2
01-01-2012 00:06,220,230,820
01-01-2012 00:06,891,296,717
01-01-2012 00:06,270,246,498
01-01-2012 00:06,649,975,992
01-01-2012 00:06,91,934,279
01-01-2012 00:06,462,780,722
01-01-2012 00:06,266,140,423
01-01-2012 00:06,698,223,693
01-01-2012 00:06,60,345,698
01-01-2012 00:06,873,591,400
01-01-2012 00:06,496,140,140
01-01-2012 00:06,654,747,650
01-01-2012 00:06,768,127,546
01-01-2012 00:06,721,379,171
01-01-2012 00:06,57,896,469
01-01-2012 00:06,179,193,605
01-01-2012 00:06,692,849,192
01-01-2012 00:06,639,770,633
01-01-2012 00:06,457,431,654
01-01-2012 00:06,66,972,61
01-01-2012 00:06,983,358,541
01-01-2012 00:06,170,287,98
01-01-2012 00:06,802,310,14
01-01-2012 00:06,673,998,737
01-01-2012 00:06,81,98,790
01-01-2012 00:06,886,415,689
01-01-2012 00:06,817,978,348
01-01-2012 00:06,423,369,811
01-01-2012 00:06,523,579,21
01-01-2012 00:06,682,364,206
01-01-2012 00:06,596,169,380
01-01-2012 00:06,98,233,402
01-01-2012 00:06,327,995,974
01-01-2012 00:06,370,643,152
01-01-2012 00:06,690,315,164
01-01-2012 00:06,25,200,43
01-01-2012 00:06,310,177,286
01-01-2012 00:06,709,893,408
01-01-2012 00:06,382,59,133
01-01-2012 00:06,402,900,196
01-01-2012 00:06,954,949,516
01-01-2012 00:06,944,275,621
01-01-2012 00:06,239,181,972
01-01-2012 00:06,968,379,333
01-01-2012 00:06,396,110,992
01-01-2012 00:06,815,726,989
01-01-2012 00:06,702,81,81
01-01-2012 00:06,682,739,717
01-01-2012 00:06,907,806,858
01-01-2012 00:06,312,476,198
01-01-2012 00:06,462,978,776
01-01-2012 00:06,723,367,235
01-01-2012 00:06,445,21,803
01-01-2012 00:06,223,130,112
01-01-2012 00:06,849,783,386
01-01-2012 00:06,971,215,441
01-01-2012 00:06,714,150,503
01-01-2012 00:06,288,579,316
01-01-2012 00:06,269,677,968
01-01-2012 00:06,865,237,615
01-01-2012 00:07,948,828,160
01-01-2012 00:07,594,356,194
01-01-2012 00:07,567,700,356
01-01-2012 00:07,549,538,752
01-01-2012 00:07,551,773,735
01-01-2012 00:07,885,815,785
01-01-2012 00:07,671,979,291
01-01-2012 00:07,334,150,13
01-01-2012 00:07,852,45,642
01-01-2012 00:07,262,784,451
01-01-2012 00:07,313,876,177
01-01-2012 00:07,610,325,479
01-01-2012 00:07,738,45,186
01-01-2012 00:07,789,967,474
01-01-2012 00:07,923,129,698
01-01-2012 00:07,565,65,958
01-01-2012 00:07,922,134,139
01-01-2012 00:07,263,648,213
01-01-2012 00:07,657,742,987
01-01-2012 00:07,805,893,801
01-01-2012 00:07,453,222,506
01-01-2012 00:07,270,188,244
01-01-2012 00:07,632,752,707
01-01-2012 00:07,132,854,716
01-01-2012 00:07,828,761,620
01-01-2012 00:07,794,556,441
01-01-2012 00:07,606,503,18
01-01-2012 00:07,157,998,886
01-01-2012 00:07,958,733,132
01-01-2012 00:07,115,829,330
01-01-2012 00:07,969,889,808
01-01-2012 00:07,501,704,590
01-01-2012 00:07,596,85,479
01-01-2012 00:07,153,588,452
01-01-2012 00:07,461,309,182
01-01-2012 00:07,579,231,647
01-01-2012 00:07,136,606,386
01-01-2012 00:07,538,648,988
01-01-2012 00:07,481,668,110
01-01-2012 00:07,841,844,64
01-01-2012 00:07,679,77,735
01-01-2012 00:07,463,823,25
01-01-2012 00:07,630,32,862
01-01-2012 00:07,711,891,664
01-01-2012 00:07,352,733,896
01-01-2012 00:07,768,282,835
01-01-2012 00:07,804,279,299
01-01-2012 00:07,599,773,550
01-01-2012 00:07,960,604,599
01-01-2012 00:07,972,347,270
01-01-2012 00:07,703,286,981
01-01-2012 00:07,971,656,537
01-01-2012 00:07,332,820,296
01-01-2012 00:07,940,592,153
01-01-2012 00:07,306,347,37
01-01-2012 00:07,433,937,553
01-01-2012 00:07,927,980,366
01-01-2012 00:07,8,100,975
01-01-2012 00:07,626,644,421
01-01-2012 00:07,904,325,590
01-01-2012 00:08,721,68,424
01-01-2012 00:08,73,618,463
01-01-2012 00:08,748,538,880
01-01-2012 00:08,679,820,534
01-01-2012 00:08,859,842,254
01-01-2012 00:08,643,67,79
01-01-2012 00:08,503,283,284
01-01-2012 00:08,236,313,144
01-01-2012 00:08,197,748,785
01-01-2012 00:08,140,745,703
01-01-2012 00:08,443,700,930
01-01-2012 00:08,216,822,418
01-01-2012 00:08,809,650,331
01-01-2012 00:08,884,949,933
01-01-2012 00:08,543,77,152
01-01-2012 00:08,224,879,379
01-01-2012 00:08,481,746,230
01-01-2012 00:08,314,867,197
01-01-2012 00:08,440,296,643
01-01-2012 00:08,134,994,274
01-01-2012 00:08,798,915,148
01-01-2012 00:08,764,792,651
01-01-2012 00:08,865,912,618
01-01-2012 00:08,479,0,462
01-01-2012 00:08,192,958,24
01-01-2012 00:08,198,161,299
01-01-2012 00:08,453,741,867
01-01-2012 00:08,256,206,844
01-01-2012 00:08,788,76,679
01-01-2012 00:08,912,144,331
01-01-2012 00:08,673,294,103
01-01-2012 00:08,586,525,78
01-01-2012 00:08,86,131,416
01-01-2012 00:08,664,364,552
01-01-2012 00:08,725,415,767
01-01-2012 00:08,768,318,215
01-01-2012 00:08,564,902,298
01-01-2012 00:08,376,676,709
01-01-2012 00:08,14,116,161
01-01-2012 00:08,446,448,486
01-01-2012 00:08,754,711,802
01-01-2012 00:08,715,45,279
01-01-2012 00:08,896,844,740
01-01-2012 00:08,718,417,292
01-01-2012 00:08,780,637,143
01-01-2012 00:08,291,709,628
01-01-2012 00:08,241,737,75
01-01-2012 00:08,309,626,811
01-01-2012 00:08,677,430,944
01-01-2012 00:08,163,831,958
01-01-2012 00:08,874,23,579
01-01-2012 00:08,344,744,266
01-01-2012 00:08,301,514,390
01-01-2012 00:08,821,119,10
01-01-2012 00:08,576,808,950
01-01-2012 00:08,616,186,240
01-01-2012 00:08,793,53,653
01-01-2012 00:08,174,617,399
01-01-2012 00:08,651,755,220
01-01-2012 00:08,570,671,777
01-01-2012 00:09,476,894,869
01-01-2012 00:09,82,822,840
01-01-2012 00:09,498,600,530
01-01-2012 00:09,38,136,400
01-01-2012 00:09,858,241,903
01-01-2012 00:09,342,438,332
01-01-2012 00:09,936,135,140
01-01-2012 00:09,204,310,720
01-01-2012 00:09,915,836,408
01-01-2012 00:09,783,255,554
01-01-2012 00:09,507,337,570
01-01-2012 00:09,584,674,905
01-01-2012 00:09,354,996,116
01-01-2012 00:09,146,780,483
01-01-2012 00:09,728,580,592
01-01-2012 00:09,673,892,938
01-01-2012 00:09,726,509,322
01-01-2012 00:09,777,159,889
01-01-2012 00:09,253,224,326
01-01-2012 00:09,652,421,266
01-01-2012 00:09,892,14,982
01-01-2012 00:09,338,775,763
01-01-2012 00:09,48,471,65
01-01-2012 00:09,613,925,939
01-01-2012 00:09,949,864,850
01-01-2012 00:09,414,791,853
01-01-2012 00:09,934,604,545
01-01-2012 00:09,60,116,259
01-01-2012 00:09,433,877,436
01-01-2012 00:09,976,370,667
01-01-2012 00:09,933,767,643
01-01-2012 00:09,655,937,170
01-01-2012 00:09,747,319,739
01-01-2012 00:09,879,542,78
01-01-2012 00:09,8,483,963
01-01-2012 00:09,978,801,983
01-01-2012 00:09,394,162,155
01-01-2012 00:09,859,138,293
01-01-2012 00:09,353,398,956
01-01-2012 00:09,903,232,868
01-01-2012 00:09,192,919,689
01-01-2012 00:09,137,999,16
01-01-2012 00:09,333,256,10
01-01-2012 00:09,680,745,258
01-01-2012 00:09,272,319,970
01-01-2012 00:09,343,611,672
01-01-2012 00:09,543,920,369
01-01-2012 00:09,346,174,426
01-01-2012 00:09,336,126,592
01-01-2012 00:09,113,749,568
01-01-2012 00:09,935,963,849
01-01-2012 00:09,586,40,935
01-01-2012 00:09,459,490,164
01-01-2012 00:09,585,14,185
01-01-2012 00:09,185,394,737
01-01-2012 00:09,489,354,135
01-01-2012 00:09,30,875,764
01-01-2012 00:09,782,348,590
01-01-2012 00:09,959,158,902
01-01-2012 00:09,989,255,728
01-01-2012 00:10,974,716,329
01-01-2012 00:10,530,176,782
01-01-2012 00:10,2,657,149
01-01-2012 00:10,612,479,222
01-01-2012 00:10,585,488,812
01-01-2012 00:10,119,404,929
01-01-2012 00:10,92,585,155
01-01-2012 00:10,949,905,799
01-01-2012 00:10,845,31,500
01-01-2012 00:10,563,247,285
01-01-2012 00:10,951,583,356
01-01-2012 00:10,245,914,533
01-01-2012 00:10,114,599,283
01-01-2012 00:10,424,170,196
01-01-2012 00:10,584,583,570
01-01-2012 00:10,951,874,81
01-01-2012 00:10,423,628,972
01-01-2012 00:10,618,197,376
01-01-2012 00:10,783,785,425
01-01-2012 00:10,637,592,1
01-01-2012 00:10,465,63,119
01-01-2012 00:10,266,566,257
01-01-2012 00:10,641,312,785
01-01-2012 00:10,360,597,911
01-01-2012 00:10,26,272,233
01-01-2012 00:10,53,144,762
01-01-2012 00:10,773,864,908
01-01-2012 00:10,133,857,466
01-01-2012 00:10,741,146,235
01-01-2012 00:10,956,601,725
01-01-2012 00:10,394,725,479
01-01-2012 00:10,518,469,773
01-01-2012 00:10,765,654,293
01-01-2012 00:10,424,183,785
01-01-2012 00:10,162,481,300
01-01-2012 00:10,383,156,490
01-01-2012 00:10,324,855,253
01-01-2012 00:10,543,605,772
01-01-2012 00:10,171,609,561
01-01-2012 00:10,233,849,483
01-01-2012 00:10,249,20,405
01-01-2012 00:10,956,678,887
01-01-2012 00:10,84,866,772
01-01-2012 00:10,160,710,235
01-01-2012 00:10,791,117,629
01-01-2012 00:10,550,583,782
01-01-2012 00:10,837,516,214
01-01-2012 00:10,639,431,275
01-01-2012 00:10,75,489,747
01-01-2012 00:10,788,981,472
01-01-2012 00:10,651,961,285
01-01-2012 00:10,262,100,57
01-01-2012 00:10,17,443,273
01-01-2012 00:10,475,687,545
01-01-2012 00:10,967,978,517
01-01-2012 00:10,886,885,556
01-01-2012 00:10,827,710,979
01-01-2012 00:10,919,220,731
01-01-2012 00:10,452,144,762
01-01-2012 00:10,483,317,800
01-01-2012 00:11,381,189,517
01-01-2012 00:11,357,258,969
01-01-2012 00:11,437,266,86
01-01-2012 00:11,429,131,646
01-01-2012 00:11,793,105,608
01-01-2012 00:11,508,744,233
01-01-2012 00:11,34,667,757
01-01-2012 00:11,296,177,226
01-01-2012 00:11,38,335,9
01-01-2012 00:11,582,262,280
01-01-2012 00:11,452,217,925
01-01-2012 00:11,522,710,806
01-01-2012 00:11,921,952,694
01-01-2012 00:11,995,405,779
01-01-2012 00:11,63,341,833
01-01-2012 00:11,443,189,819
01-01-2012 00:11,743,573,715
01-01-2012 00:11,448,910,807
01-01-2012 00:11,6,310,741
01-01-2012 00:11,292,981,608
01-01-2012 00:11,928,796,362
01-01-2012 00:11,146,836,653
01-01-2012 00:11,750,648,132
01-01-2012 00:11,674,892,84
01-01-2012 00:11,621,234,411
01-01-2012 00:11,556,257,111
01-01-2012 00:11,773,30,927
01-01-2012 00:11,74,186,525
01-01-2012 00:11,585,230,442
01-01-2012 00:11,896,310,798
01-01-2012 00:11,570,775,961
01-01-2012 00:11,98,478,779
01-01-2012 00:11,414,866,479
01-01-2012 00:11,80,637,440
01-01-2012 00:11,647,146,308
01-01-2012 00:11,867,650,619
01-01-2012 00:11,440,196,698
01-01-2012 00:11,667,769,637
01-01-2012 00:11,650,831,145
01-01-2012 00:11,814,624,52
01-01-2012 00:11,388,274,388
01-01-2012 00:11,551,466,331
01-01-2012 00:11,867,987,621
01-01-2012 00:11,431,994,741
01-01-2012 00:11,790,566,161
01-01-2012 00:11,470,224,489
01-01-2012 00:11,57,204,353
01-01-2012 00:11,220,510,669
01-01-2012 00:11,60,849,311
01-01-2012 00:11,866,388,131
01-01-2012 00:11,708,38,718
01-01-2012 00:11,584,749,561
01-01-2012 00:11,71,235,457
01-01-2012 00:11,789,599,535
01-01-2012 00:11,72,661,545
01-01-2012 00:11,431,971,976
01-01-2012 00:11,643,624,568
01-01-2012 00:11,318,925,355
01-01-2012 00:11,192,352,346
01-01-2012 00:11,333,259,34
01-01-2012 00:12,800,946,631
01-01-2012 00:12,625,11,451
01-01-2012 00:12,353,589,513
01-01-2012 00:12,346,375,222
01-01-2012 00:12,416,505,986
01-01-2012 00:12,300,695,411
01-01-2012 00:12,865,285,996
01-01-2012 00:12,673,896,123
01-01-2012 00:12,307,140,721
01-01-2012 00:12,935,960,264
01-01-2012 00:12,69,882,71
01-01-2012 00:12,839,343,816
01-01-2012 00:12,792,380,626
01-01-2012 00:12,537,921,614
01-01-2012 00:12,935,114,801
01-01-2012 00:12,756,135,877
01-01-2012 00:12,513,628,337
01-01-2012 00:12,271,475,199
01-01-2012 00:12,958,273,678
01-01-2012 00:12,169,466,287
01-01-2012 00:12,445,382,799
01-01-2012 00:12,105,239,340
01-01-2012 00:12,476,452,211
01-01-2012 00:12,21,240,26
01-01-2012 00:12,618,375,0
01-01-2012 00:12,396,224,742
01-01-2012 00:12,389,652,767
01-01-2012 00:12,333,199,194
01-01-2012 00:12,420,239,715
01-01-2012 00:12,647,220,19
01-01-2012 00:12,317,406,195
01-01-2012 00:12,536,543,368
01-01-2012 00:12,638,886,953
01-01-2012 00:12,408,324,393
01-01-2012 00:12,319,926,387
01-01-2012 00:12,440,198,289
01-01-2012 00:12,104,148,850
01-01-2012 00:12,134,993,120
01-01-2012 00:12,569,506,160
01-01-2012 00:12,169,564,376
01-01-2012 00:12,84,694,509
01-01-2012 00:12,433,165,80
01-01-2012 00:12,813,80,782
01-01-2012 00:12,647,560,52
01-01-2012 00:12,626,548,338
01-01-2012 00:12,732,293,864
01-01-2012 00:12,411,871,828
01-01-2012 00:12,96,383,518
01-01-2012 00:12,738,967,262
01-01-2012 00:12,58,404,496
01-01-2012 00:12,152,706,543
01-01-2012 00:12,943,694,74
01-01-2012 00:12,724,607,321
01-01-2012 00:12,918,684,905
01-01-2012 00:12,77,54,699
01-01-2012 00:12,776,82,514
01-01-2012 00:12,799,565,214
01-01-2012 00:12,722,587,790
01-01-2012 00:12,269,675,431
01-01-2012 00:12,745,578,649
01-01-2012 00:13,981,67,590
01-01-2012 00:13,307,760,98
01-01-2012 00:13,48,555,895
01-01-2012 00:13,505,388,859
01-01-2012 00:13,999,493,730
01-01-2012 00:13,910,733,391
01-01-2012 00:13,182,624,888
01-01-2012 00:13,275,972,645
01-01-2012 00:13,512,429,890
01-01-2012 00:13,425,241,721
01-01-2012 00:13,965,688,611
01-01-2012 00:13,240,217,33
01-01-2012 00:13,739,952,16
01-01-2012 00:13,856,702,247
01-01-2012 00:13,828,826,859
01-01-2012 00:13,590,387,218
01-01-2012 00:13,672,915,404
01-01-2012 00:13,231,296,585
01-01-2012 00:13,299,543,191
01-01-2012 00:13,358,420,764
01-01-2012 00:13,700,281,405
01-01-2012 00:13,295,826,49
01-01-2012 00:13,204,991,584
01-01-2012 00:13,996,489,511
01-01-2012 00:13,166,783,609
01-01-2012 00:13,841,343,393
01-01-2012 00:13,172,857,929
01-01-2012 00:13,318,484,579
01-01-2012 00:13,253,348,469
01-01-2012 00:13,728,10,493
01-01-2012 00:13,758,83,343
01-01-2012 00:13,750,94,664
01-01-2012 00:13,324,926,747
01-01-2012 00:13,696,598,247
01-01-2012 00:13,692,976,193
01-01-2012 00:13,823,65,730
01-01-2012 00:13,533,464,436
01-01-2012 00:13,184,288,249
01-01-2012 00:13,380,516,268
01-01-2012 00:13,912,810,851
